model,sample,latency_ms,fps
MiniFASNet,0,9.785890579223633,102.18794006578146
MiniFASNet,1,4.981040954589844,200.7612483247176
MiniFASNet,2,4.271984100341797,234.08326822189977
MiniFASNet,3,4.224300384521484,236.725589795688
MiniFASNet,4,4.270076751708984,234.18782802903405
MiniFASNet,5,4.138946533203125,241.6073732718894
MiniFASNet,6,4.151344299316406,240.88582586721802
MiniFASNet,7,4.079341888427734,245.1375803623612
MiniFASNet,8,3.9339065551757812,254.20024242424242
MiniFASNet,9,3.808736801147461,262.55424100156495
MiniFASNet,10,3.8475990295410156,259.9023422976825
MiniFASNet,11,4.4612884521484375,224.15049166310388
MiniFASNet,12,4.28009033203125,233.63992869875221
MiniFASNet,13,4.12750244140625,242.27726432532347
MiniFASNet,14,4.33039665222168,230.92572812861312
SHIELD_FAS,0,0.007867813110351562,127100.12121212122
SHIELD_FAS,1,0.001430511474609375,699050.6666666666
SHIELD_FAS,2,0.0007152557373046875,1398101.3333333333
SHIELD_FAS,3,0.000476837158203125,2097152.0
SHIELD_FAS,4,0.0007152557373046875,1398101.3333333333
SHIELD_FAS,5,0.000476837158203125,2097152.0
SHIELD_FAS,6,0.0007152557373046875,1398101.3333333333
SHIELD_FAS,7,0.000476837158203125,2097152.0
SHIELD_FAS,8,0.0007152557373046875,1398101.3333333333
SHIELD_FAS,9,0.000476837158203125,2097152.0
SHIELD_FAS,10,0.0007152557373046875,1398101.3333333333
SHIELD_FAS,11,0.000476837158203125,2097152.0
SHIELD_FAS,12,0.000476837158203125,2097152.0
SHIELD_FAS,13,0.000476837158203125,2097152.0
SHIELD_FAS,14,0.0007152557373046875,1398101.3333333333
SHIELD_RPPG,0,4.132270812988281,241.99769213016387
SHIELD_RPPG,1,0.008821487426757812,113359.56756756757
SHIELD_RPPG,2,0.0019073486328125,524288.0
SHIELD_RPPG,3,0.0019073486328125,524288.0
SHIELD_RPPG,4,0.0016689300537109375,599186.2857142857
SHIELD_RPPG,5,0.001430511474609375,699050.6666666666
SHIELD_RPPG,6,0.001430511474609375,699050.6666666666
SHIELD_RPPG,7,0.001430511474609375,699050.6666666666
SHIELD_RPPG,8,0.0011920928955078125,838860.8
SHIELD_RPPG,9,0.001430511474609375,699050.6666666666
SHIELD_RPPG,10,0.0050067901611328125,199728.7619047619
SHIELD_RPPG,11,0.0035762786865234375,279620.26666666666
SHIELD_RPPG,12,0.00286102294921875,349525.3333333333
SHIELD_RPPG,13,0.0035762786865234375,279620.26666666666
SHIELD_RPPG,14,0.003337860107421875,299593.14285714284
