dataset,path,shield_hr,shield_prep,shield_inf,phys_hr,phys_prep,phys_inf
UBFC,benchmark/datasets/UBFC/videos/seq_0,72.0,0.0006069999471947085,0.015639000139344716,75.24384841322899,5.142171999978018,369.5962049996524
UBFC,benchmark/datasets/UBFC/videos/seq_1,72.0,0.0028460003704822157,0.02642399977048626,75.23624320328236,6.560929999977816,273.97237100012717
UBFC,benchmark/datasets/UBFC/videos/seq_2,72.0,0.0029019997782597784,0.023368000256596133,75.23714184761047,5.189805000100023,318.6441080001714
UBFC,benchmark/datasets/UBFC/videos/seq_3,72.0,0.0015470000107598025,0.02245899986519362,75.23247811198235,6.297164999978122,270.814411000174
UBFC,benchmark/datasets/UBFC/videos/seq_4,72.0,0.00124100006360095,0.022109999918029644,75.21439209580421,5.5244000000129745,311.96182800022143
PURE,benchmark/datasets/PURE/videos/seq_0,72.0,0.0033040000744222198,0.02555800028858357,75.2629009783268,7.018722999873717,282.2005100001661
PURE,benchmark/datasets/PURE/videos/seq_1,72.0,0.0009469999895372894,0.021550000383285806,75.22756549715996,5.6995240001924685,292.1709799998098
PURE,benchmark/datasets/PURE/videos/seq_2,72.0,0.0011500001164677087,0.024912999833759386,75.23392295837402,5.7745600001908315,298.6052279998148
PURE,benchmark/datasets/PURE/videos/seq_3,72.0,0.006724000286340015,0.055358999816235155,75.25374102592468,6.448489000376867,285.8814829996845
PURE,benchmark/datasets/PURE/videos/seq_4,72.0,0.0014289998944150284,0.02009900026678224,75.22973802685738,5.387839999912103,357.26739099982296
